#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Mon Feb 26 16:12:10 CET 2018
#------------------------------------------------------
# Location    : terneuzen
# Position    : (3.820107,51.337192)
# Source      : observed
# Unit        : waterlevel_astro
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
201312061350   0.5200
201312061400   0.7900
201312061410   1.0900
201312061420   1.4100
201312061430   1.7400
201312061440   2.0600
201312061450   2.3400
201312061500   2.5700
201312061510   2.7300
201312061520   2.8300
201312061530   2.8600
201312061540   2.8400
201312061550   2.7800
201312061600   2.6900
201312061610   2.5900
201312061620   2.5000
201312061630   2.4100
201312061640   2.3400
201312061650   2.2800
201312061700   2.2200
201312061710   2.1600
201312061720   2.0900
201312061730   2.0000
201312061740   1.8800
201312061750   1.7500
201312061800   1.6000
201312061810   1.4300
201312061820   1.2500
201312061830   1.0700
201312061840   0.8800
201312061850   0.6900
201312061900   0.4900
201312061910   0.3000
201312061920   0.1200
201312061930   -0.0700
201312061940   -0.2400
201312061950   -0.4100
201312062000   -0.5600
201312062010   -0.7000
201312062020   -0.8400
201312062030   -0.9700
201312062040   -1.0900
201312062050   -1.2100
201312062100   -1.3400
201312062110   -1.4700
201312062120   -1.5900
201312062130   -1.7100
201312062140   -1.8100
201312062150   -1.8800
201312062200   -1.9300
201312062210   -1.9400
201312062220   -1.9200
201312062230   -1.8600
201312062240   -1.7800
201312062250   -1.6700
201312062300   -1.5600
201312062310   -1.4400
201312062320   -1.3300
201312062330   -1.2200
201312062340   -1.1200
201312062350   -1.0300
201312070000   -0.9400

